date,I,S,inc,R,cases,ran_cases,index
1945-01-10,216.412,193508,26.5857,2.20628e+06,21.3881,16.8354,0
1945-01-11,217.015,193611,26.6804,2.20617e+06,21.4643,16.9988,0
1945-01-12,217.642,193714,26.778,2.20607e+06,21.5428,19.3567,0
1945-01-13,218.293,193817,26.8784,2.20596e+06,21.6236,19.956,0
1945-01-14,218.967,193921,26.9816,2.20586e+06,21.7066,24.1183,0
1945-01-15,219.664,194024,27.0877,2.20576e+06,21.7919,18.6126,0
1945-01-16,220.385,194126,27.1966,2.20565e+06,21.8795,21.9289,0
1945-01-17,221.13,194229,27.3083,2.20555e+06,21.9694,21.2303,0
1945-01-18,221.898,194332,27.4229,2.20545e+06,22.0616,24.5587,0
1945-01-19,222.69,194434,27.5403,2.20534e+06,22.1561,21.6626,0
1945-01-20,223.506,194537,27.6606,2.20524e+06,22.2528,23.6627,0
1945-01-21,224.345,194639,27.7837,2.20514e+06,22.3519,23.3591,0
1945-01-22,225.207,194741,27.9097,2.20503e+06,22.4532,22.7545,0
1945-01-23,226.093,194843,28.0385,2.20493e+06,22.5569,26.8168,0
1945-01-24,227.003,194945,28.1702,2.20483e+06,22.6628,22.3736,0
1945-01-25,227.937,195047,28.3048,2.20473e+06,22.771,25.5477,0
1945-01-26,228.894,195148,28.4422,2.20462e+06,22.8816,22.4227,0
1945-01-27,229.875,195250,28.5825,2.20452e+06,22.9944,22.6957,0
1945-01-28,230.879,195351,28.7256,2.20442e+06,23.1096,23.51,0
